id,Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
28,Meta Social Media Marketing,Meta,"Paid media, Social Media Management, Social Media, Social Media Marketing, Target Audience, Marketing Analytics, Content Creation, Social Media Strategy, Social Media Campaigns, Instagram, Persona Development, Advertising Campaigns, Marketing Effectiveness, Advertising, Marketing Budgets, Smart Goals, Campaign Management, Key Performance Indicators (KPIs), Digital Marketing, Brand Management",4.8,22K reviews,Beginner Â,3 - 6 Months
29,Intuit Academy Bookkeeping: Balance Books Like a Boss,Intuit,"Reconciliation, Financial Statements, Financial Statement Analysis, Inventory Accounting, Payroll, Bookkeeping, QuickBooks (Accounting Software), Payroll Administration, Inventory Control, Payroll Processing, Income Statement, Balance Sheet, Financial Reporting, Depreciation, Fixed Asset, Payroll Tax, Property Accounting, Accounting Software, Financial Accounting, Financial Analysis",4.6,7.9K reviews,Beginner Â,3 - 6 Months
30,IBM Java Developer,IBM,"Prompt Engineering, Cloud-Native Computing, Software Development Life Cycle, Software Architecture, Hibernate (Java), Database Design, Responsive Web Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Object Oriented Programming (OOP), Microservices, CI/CD, Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design",4.6,6.6K reviews,Beginner Â,3 - 6 Months
31,IBM Full-Stack JavaScript Developer,IBM,"Node.JS, Software Development Life Cycle, Software Architecture, Istio, Application Deployment, React Redux, Kubernetes, CI/CD, Cloud-Native Computing, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Cloud Applications, GitHub, Ajax, Javascript, Azure DevOps, Engineering Software",4.6,8.5K reviews,Beginner Â,3 - 6 Months
32,IBM JavaScript Backend Developer,IBM,"Open Web Application Security Project (OWASP), Node.JS, Containerization, Software Development Life Cycle, Software Architecture, Istio, Application Deployment, Kubernetes, Cloud-Native Computing, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Cloud Applications, Ajax, Grafana, Javascript, Azure DevOps, Engineering Software",4.6,8.2K reviews,Beginner Â,3 - 6 Months
33,Microsoft AI Product Manager,Microsoft,"Competitive Analysis, Market Research, User Story, User Interface (UI), Product Roadmaps, Competitive Intelligence, AI Product Strategy, Usability, Persona Development, Product Development, Market Analysis, Product Management, Product Lifecycle Management, Customer Analysis, Design Thinking, Market Intelligence, User Interface (UI) Design, Quality Assurance and Control, Product Strategy, Data Analysis",4.6,253 reviews,Beginner Â,3 - 6 Months
34,IBM Product Owner,IBM,"AI Product Strategy, User Story, Sprint Retrospectives, Backlogs, Agile Product Development, Generative AI, Agile Software Development, Stakeholder Communications, Agile Methodology, Kanban Principles, Responsible AI, Product Roadmaps, Virtual Teams, Information Technology, Agile Project Management, Computer Hardware, Product Strategy, ChatGPT, Stakeholder Management, Sprint Planning",4.7,6.6K reviews,Beginner Â,3 - 6 Months
35,IBM iOS and Android Mobile App Developer,IBM,"React Native, Prompt Engineering, Software Development Life Cycle, Flutter (Software), Software Architecture, Swift Programming, Mobile Development, Apple Xcode, Android Studio, Android Development, React Redux, Apple iOS, Responsive Web Design, Git (Version Control System), GitHub, Software Design, Android (Operating System), Cascading Style Sheets (CSS), User Experience Design, AI Personalization",4.6,7.4K reviews,Beginner Â,3 - 6 Months
36,"IBM Front-End Development with Figma, Bootstrap & Git",IBM,"Bootstrap (Front-End Framework), Software Development Life Cycle, Cloud-Native Computing, Software Architecture, Browser Compatibility, React Redux, Cloud Applications, Responsive Web Design, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, Software Design, Agile Methodology, Hypertext Markup Language (HTML), HTML and CSS, User Experience Design, Engineering Software",4.6,7.6K reviews,Beginner Â,3 - 6 Months
37,IBM IT Project Manager,IBM,"User Story, Stakeholder Engagement, Software Development Life Cycle, Software Architecture, Project Management Life Cycle, Resource Management, Peer Review, Agile Software Development, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Kanban Principles, Project Management, Information Technology, Risk Management, Interviewing Skills, Agile Project Management, Leadership, Communication",4.7,9.8K reviews,Beginner Â,3 - 6 Months
38,IBM Product Manager,IBM,"AI Product Strategy, User Story, Usability Testing, New Product Development, Product Management, Product Lifecycle Management, Generative AI, Product Development, Innovation, Agile Software Development, Product Roadmaps, Agile Methodology, Kanban Principles, Responsible AI, Backlogs, Product Planning, Sprint Retrospectives, Agile Project Management, ChatGPT, Leadership",4.8,4.1K reviews,Beginner Â,3 - 6 Months
39,Meta Front-End Developer,Meta,"User Experience Design, User Interface and User Experience (UI/UX) Design, User Experience, Design Research, Linux Commands, User Centered Design, Debugging, User Interface (UI), Software Versioning, Software Visualization, Web Content Accessibility Guidelines, Pseudocode, JavaScript Frameworks, Javascript, Web Applications, Semantic Web, Cascading Style Sheets (CSS), Unit Testing, Application Development, API Design",4.7,23K reviews,Beginner Â,3 - 6 Months
40,IBM IT Scrum Master,IBM,"User Story, Software Development Life Cycle, Software Architecture, Sprint Retrospectives, Agile Software Development, Kanban Principles, DevOps, Backlogs, Software Design, Scrum (Software Development), Information Technology, Software Engineering, Computer Hardware, Software Design Patterns, Agile Methodology, Agile Project Management, Team Building, Risk Management, Leadership, Communication",4.8,11K reviews,Beginner Â,3 - 6 Months
41,IBM and ISC2 Cybersecurity Specialist,Multiple educators,"Incident Response, Network Security, Computer Security Incident Management, Cloud Computing Architecture, Penetration Testing, Cloud Services, Business Continuity, Disaster Recovery, Security Controls, Generative AI, Configuration Management, Governance, Cloud Security, Cloud Infrastructure, Cybersecurity, Data Storage, Peripheral Devices, Application Security, Information Technology, Cryptography",4.7,14K reviews,Beginner Â,3 - 6 Months
42,HRCI Human Resource Associate,HRCI,"Talent Acquisition, Training and Development, Compensation and Benefits, Training Programs, Recruitment, Employee Training, Full Cycle Recruitment, Job Analysis, Employee Performance Management, Compensation Management, Performance Appraisal, Job Evaluation, Developing Training Materials, Compensation Strategy, Performance Management, Human Resource Policies, Employee Relations, Occupational Safety And Health, Risk Management, Business Risk Management",4.8,2.9K reviews,Beginner Â,3 - 6 Months
43,Adobe Graphic Designer: Design that Demands Attention,Adobe,"Adobe Illustrator, Adobe Photoshop, Responsible AI, Logo Design, Generative AI, Graphic Design, User Interface and User Experience (UI/UX) Design, Productivity Software, Visual Design, Digital Design, File Management, Process Design, Design Reviews, Prompt Engineering, Image Analysis, Presentations, Client Services, Content Creation, Branding, Storytelling",4.7,1.8K reviews,Beginner Â,3 - 6 Months
44,IBM Cybersecurity Analyst,IBM,"Operating System Administration, Cyber Threat Hunting, Incident Response, IT Service Management, Identity and Access Management, Cloud Computing, Governance Risk Management and Compliance, Information Technology Infrastructure Library, Endpoint Security, Malware Protection, Penetration Testing, Computer Security Incident Management, Linux Commands, Database Management, Network Security, Networking Hardware, Cybersecurity, Cyber Threat Intelligence, Interviewing Skills, Cyber Security Assessment",4.6,27K reviews,Beginner Â,3 - 6 Months
45,Adobe Marketing Specialist,Adobe,"Promotional Strategies, Marketing Planning, Social Media Content, Responsible AI, Digital Marketing, Cross-Channel Marketing, Logo Design, Content Marketing, Creative Design, Target Audience, Generative AI, Digital Advertising, Marketing Strategies, Campaign Management, Content Creation, Social Media Marketing, Graphic Design, Content Strategy, Advertising, Market Research",4.7,1.8K reviews,Beginner Â,3 - 6 Months
46,DeepLearning.AI Data Engineering,Multiple educators,"Apache Airflow, Data Modeling, Data Pipelines, Data Storage, Data Architecture, Requirements Analysis, Data Processing, Data Warehousing, Query Languages, Apache Hadoop, Extract, Transform, Load, Data Lakes, Amazon Web Services, File Systems, Apache Spark, Database Systems, Feature Engineering, Data Integration, AWS Kinesis, Data Management",4.7,529 reviews,Intermediate Â,3 - 6 Months
47,Adobe Content Creator: Launching Your Creative Career,Adobe,"Photo/Video Production and Technology, Video Editing, Typography, Responsible AI, Media Production, Logo Design, Generative AI, Social Media, Content Creation, Graphic Design, Social Media Management, Creative Design, Adobe Photoshop, Visual Design, Content Marketing, Infographics, Content Strategy, Color Theory, Storytelling, Branding",4.7,1.8K reviews,Beginner Â,3 - 6 Months
48,"IBM Data Architect with SQL, Spark & Kafka",IBM,"NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Data Security, Linux Commands, Data Migration, Database Design, Data Governance, MySQL, Database Administration, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Data Store, Data Architecture",4.6,7.1K reviews,Beginner Â,3 - 6 Months
49,Arizona State University TESOL,Arizona State University,"Oral Comprehension, Education Software and Technology, Pedagogy, Literacy, Teaching, Learning Strategies, Instructional Strategies, Enthusiasm, Motivational Skills, Oral Expression, Learning Styles, Technology Strategies, Grammar, Language Learning, English Language, Language Competency, Constructive Feedback, Design Elements And Principles, Learning Theory, Self-Awareness",4.9,21K reviews,Beginner Â,3 - 6 Months
50,Microsoft Excel,Microsoft,"Excel Macros, Prompt Engineering, Microsoft Excel, Data Cleansing, Excel Formulas, Pivot Tables And Charts, Microsoft Copilot, Dashboard, Forecasting, Data Presentation, Data Storytelling, Data Processing, Data Visualization Software, Data Manipulation, Data Visualization, Workflow Management, Data Wrangling, Data Quality, Statistical Analysis, Data Transformation",4.3,246 reviews,Beginner Â,3 - 6 Months
51,IBM Systems Analyst,IBM,"Data Storytelling, Business Process Modeling, Business Analysis, Stakeholder Management, Stakeholder Analysis, Process Optimization, Data Visualization, Requirements Management, Process Mapping, Business Process, Systems Design, Process Analysis, Process Flow Diagrams, Systems Analysis, Database Design, Release Management, Data Modeling, Information Technology, Database Management, Agile Methodology",4.7,4.7K reviews,Beginner Â,3 - 6 Months
52,IBM Data Warehouse Engineer,IBM,"Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Database Administration, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Data Store, IBM DB2, Data Visualization, Relational Databases, Dashboard",4.7,6.5K reviews,Beginner Â,3 - 6 Months
53,Microsoft Business Analyst,Microsoft,"Microsoft Power Platform, Excel Formulas, Process Flow Diagrams, Business Process Modeling, User Story, Business Requirements, Stakeholder Management, Data Modeling, Microsoft Excel, Software Development Life Cycle, Requirements Analysis, Requirements Elicitation, Quality Management, Pivot Tables And Charts, Microsoft Visio, Power BI, Microsoft Power Automate/Flow, Business Analysis, Scrum (Software Development), Data Analysis",4.6,1.3K reviews,Beginner Â,3 - 6 Months
54,SAP Technology Consultant,SAP,"Relationship Building, Project Management, Case Studies, Technology Solutions, Project Implementation, Software As A Service, Project Management Life Cycle, Systems Analysis, Enterprise Architecture, Enterprise Resource Planning, Consultative Approaches, Solution Architecture, Project Closure, Stakeholder Communications, Test Planning, Stakeholder Management, Agile Methodology, Technical Communication, Company, Product, and Service Knowledge, LinkedIn",4.7,1.4K reviews,Beginner Â,3 - 6 Months
55,IBM IT Support,IBM,"Cloud Computing Architecture, Technical Support, Technical Support and Services, Cloud Services, Generative AI, Hardware Troubleshooting, IT Service Management, Cloud Security, Cybersecurity, Desktop Support, Cloud Platforms, Cloud Hosting, Cloud Engineering, Cloud Computing, Professional Networking, Data Storage, Peripheral Devices, Information Technology, Cloud Infrastructure, Customer Service",4.7,12K reviews,Beginner Â,3 - 6 Months
56,ADP Entry-Level Payroll Specialist,"Automatic Data Processing, Inc. (ADP)","Payroll, Payroll Administration, Payroll Processing, Payroll Reporting, Payroll Tax, Payroll Systems, Labor Compliance, Data Entry, Labor Law, Compensation Management, Human Resource Strategy, Compensation and Benefits, Non-Profit Accounting, Payment Processing and Collection, Benefits Administration, Tax Compliance, Specialized Accounting, Reconciliation, Workforce Management, Data Analysis",4.7,683 reviews,Beginner Â,3 - 6 Months
57,Meta iOS Developer,Meta,"React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript",4.6,8.4K reviews,Beginner Â,3 - 6 Months
58,Meta Android Developer,Meta,"React Native, Android Studio, Restful API, Version Control, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development, Javascript",4.6,8.9K reviews,Beginner Â,3 - 6 Months
59,DeepLearning.AI Data Analytics,DeepLearning.AI,"Data Storytelling, Web Scraping, Google Sheets, Data Visualization, Data Presentation, Spreadsheet Software, Large Language Modeling, Tableau Software, Data Literacy, Dashboard, LinkedIn, Pandas (Python Package), Time Series Analysis and Forecasting, Probability & Statistics, Extract, Transform, Load, Statistical Analysis, Statistics, Data Manipulation, Data Analysis, Descriptive Statistics",4.7,206 reviews,Beginner Â,3 - 6 Months
60,Microsoft Project Management: Build Job-Ready Skills,Microsoft,"Stakeholder Management, Team Management, Stakeholder Analysis, Virtual Teams, Scheduling, Conflict Management, Project Schedules, Project Management Life Cycle, Project Management, Risk Mitigation, Teamwork, Project Management Office (PMO), Procurement, Project Coordination, Kanban Principles, Performance Measurement, Risk Management, Communication, Planning, Budgeting",4.7,631 reviews,Beginner Â,3 - 6 Months
61,DeepLearning.AI Generative AI for Software Development,DeepLearning.AI,"Prompt Engineering, Large Language Modeling, Database Design, LLM Application, Software Documentation, Software Design Patterns, Databases, Test Automation, Collaborative Software, Software Testing, Application Design, Technical Documentation, Generative AI, Database Management, Software Design, Code Review, Software Architecture, Software Engineering, Software Development, Machine Learning",4.6,705 reviews,Beginner Â,1 - 3 Months
62,Meta Back-End Developer,Meta,"Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting",4.6,9.6K reviews,Beginner Â,3 - 6 Months
63,Microsoft Cloud Support Associate,Microsoft,"Microsoft 365, Network Security, Cloud Management, Microsoft Azure, Business Software, Computer Hardware, Virtual Machines, Identity and Access Management, Cybersecurity, Network Troubleshooting, Microsoft Office, Desktop Support, Virtual Private Networks (VPN), Azure Active Directory, Technical Support, Hardware Troubleshooting, System Monitoring, Disaster Recovery, Cloud Computing, Network Protocols",4.7,1.4K reviews,Beginner Â,3 - 6 Months
64,IBM Applied DevOps Engineering,IBM,"User Story, CI/CD, Open Web Application Security Project (OWASP), Continuous Integration, Istio, Application Deployment, Test Driven Development (TDD), Kubernetes, Gherkin (Scripting Language), Jenkins, Agile Software Development, DevOps, Code Coverage, OpenShift, Cloud Applications, Behavior-Driven Development, Secure Coding, Grafana, System Monitoring, Agile Methodology",4.7,7.7K reviews,Intermediate Â,3 - 6 Months
65,Microsoft IT Support: Your Launchpad into Tech,Microsoft,"Microsoft 365, Network Security, Business Software, Computer Hardware, Cybersecurity, Microsoft Office, Desktop Support, Virtual Private Networks (VPN), Network Troubleshooting, Technical Support, Hardware Troubleshooting, Generative AI, Operating Systems, Collaborative Software, System Support, Network Protocols, TCP/IP, Application Security, Microsoft Teams, Cloud Computing",4.8,1.3K reviews,Beginner Â,3 - 6 Months
66,Meta Marketing Analytics,Meta,"Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Marketing Analytics, Bayesian Statistics, Data Visualization, Descriptive Statistics, Marketing Effectiveness, Statistical Hypothesis Testing, Target Audience, Marketing Strategies, Data Cleansing, Pandas (Python Package), Data Modeling, Data Analysis, Data Visualization Software, A/B Testing, Data Collection, Marketing, Interviewing Skills",4.7,4.2K reviews,Beginner Â,3 - 6 Months
67,IBM Project Manager,IBM,"User Story, Stakeholder Engagement, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Agile Software Development, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Kanban Principles, Backlogs, Stakeholder Analysis, Project Management, IT Management, Interviewing Skills, Professional Networking, Leadership, Communication",4.8,5.3K reviews,Beginner Â,3 - 6 Months
68,Meta Database Engineer,Meta,"MySQL, Database Design, Version Control, Database Management Systems, Database Management, MySQL Workbench, Extract, Transform, Load, Data Modeling, Data Structures, SQL, Unix Commands, Relational Databases, Databases, Git (Version Control System), Database Systems, GitHub, Stored Procedure, Object Oriented Programming (OOP), Database Administration, Database Development",4.6,7.4K reviews,Beginner Â,3 - 6 Months
69,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Application Performance Management, Distributed Denial-Of-Service (DDoS) Attacks, Google Cloud Platform, Kubernetes, Cloud Infrastructure, Identity and Access Management, Data Loss Prevention, Load Balancing, System Monitoring, Prompt Engineering, Network Monitoring, Cloud Computing Architecture, Containerization, Network Architecture, Role-Based Access Control (RBAC), Network Security, OAuth, Network Routing, Cloud Security, Virtual Private Networks (VPN)",4.7,50K reviews,Intermediate Â,3 - 6 Months
